Player,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Allen Iverson,2000-01,25,PHI,NBA,SG,71,71,42.0,10.7,25.5,.420,1.4,4.3,.320,9.4,21.2,.441,.447,8.2,10.1,.814,0.7,3.1,3.8,4.6,2.5,0.3,3.3,2.1,31.1,24.0,.518,.169,.397,1.9,8.3,5.2,23.0,3.2,0.5,10.0,35.9,7.3,4.5,11.8,.190,5.0,1.1,6.1,6.1
Kobe Bryant,2000-01,22,LAL,NBA,SG,68,68,40.9,10.3,22.2,.464,0.9,2.9,.305,9.4,19.3,.489,.484,7.0,8.2,.853,1.5,4.3,5.9,5.0,1.7,0.6,3.2,3.3,28.5,24.5,.552,.132,.369,4.3,11.8,8.1,23.0,2.1,1.1,11.1,31.8,9.2,2.2,11.3,.196,5.1,-0.3,4.8,4.7
Dikembe Mutombo,2000-01,34,TOT,NBA,C,75,75,34.5,3.6,7.4,.484,0.0,0.0,,3.6,7.4,.484,.484,2.8,3.9,.725,4.1,9.4,13.5,1.0,0.4,2.7,1.9,2.7,10.0,17.5,.547,.000,.523,13.3,30.5,21.9,4.7,0.6,5.6,17.4,14.3,3.4,4.7,8.1,.151,0.4,1.3,1.7,2.4
Doug Christie,2000-01,30,SAC,NBA,SG,81,81,36.3,3.8,9.7,.395,1.2,3.1,.376,2.7,6.6,.403,.454,3.5,3.9,.897,1.2,3.2,4.4,3.6,2.3,0.6,1.9,2.8,12.3,14.8,.538,.317,.396,3.6,9.3,6.5,14.6,3.2,1.0,14.3,16.2,4.3,4.4,8.7,.141,0.0,2.3,2.3,3.2
Paul Pierce,2000-01,23,BOS,NBA,SF,82,82,38.0,8.4,18.5,.454,1.8,4.7,.383,6.6,13.8,.478,.503,6.7,9.0,.745,1.1,5.2,6.4,3.1,1.7,0.8,3.2,3.1,25.3,22.3,.563,.254,.488,3.4,16.7,9.8,16.9,2.3,1.7,12.5,30.6,6.9,3.5,10.4,.160,4.5,-0.1,4.4,5.0
Tim Duncan,2000-01,24,SAS,NBA,PF,82,82,38.7,8.6,17.1,.499,0.1,0.3,.259,8.5,16.8,.504,.502,5.0,8.1,.618,3.2,9.0,12.2,3.0,0.9,2.3,3.0,3.0,22.2,23.8,.536,.019,.471,9.7,25.1,17.8,15.3,1.2,4.2,12.5,28.7,6.2,7.1,13.2,.200,2.9,1.8,4.7,5.4
Jason Kidd,2000-01,27,PHO,NBA,PG,77,76,39.8,5.9,14.2,.411,0.9,3.0,.297,5.0,11.2,.442,.443,4.3,5.2,.814,1.2,5.2,6.4,9.8,2.2,0.3,3.7,2.2,16.9,19.4,.510,.211,.367,3.3,15.2,9.1,41.2,2.8,0.5,18.3,22.7,4.2,5.4,9.6,.150,2.4,1.7,4.2,4.8
Ben Wallace,2000-01,26,DET,NBA,C,80,80,34.5,2.7,5.5,.490,0.0,0.1,.250,2.7,5.4,.492,.491,1.0,3.0,.336,3.8,9.4,13.2,1.5,1.3,2.3,1.5,2.4,6.4,14.8,.470,.009,.542,11.5,29.6,20.4,6.8,2.0,4.8,17.7,10.4,1.0,6.0,7.0,.121,-0.6,2.5,1.9,2.7
Chris Webber,2000-01,27,SAC,NBA,PF,70,70,40.5,11.2,23.4,.481,0.0,0.4,.071,11.2,23.0,.488,.481,4.6,6.6,.703,2.6,8.5,11.1,4.2,1.3,1.7,2.8,3.2,27.1,24.7,.516,.017,.282,7.0,22.1,14.8,20.6,1.7,2.8,9.6,31.6,5.8,5.2,11.0,.186,4.0,1.4,5.5,5.3
Anthony Mason,2000-01,34,MIA,NBA,PF,80,80,40.7,5.8,11.9,.482,0.0,0.0,,5.8,11.9,.482,.482,4.6,5.9,.781,2.1,7.5,9.6,3.1,1.0,0.3,2.2,2.9,16.1,17.4,.555,.000,.497,6.2,21.9,14.1,14.2,1.4,0.6,13.3,20.0,6.0,5.6,11.6,.171,0.8,1.1,1.9,3.2
